,token,anno1,anno2,anno3,anno4
0,``,$(,$(,$(,$(
1,Ross,NE,NE,NE,NE
2,Perot,NE,NE,NE,NE
3,wäre,VVFIN,VAFIN,VAFIN,VVFIN
4,vielleicht,ADV,ADV,ADV,ADV
5,ein,ART,ART,ART,ART
6,prächtiger,ADJA,ADJA,ADJA,ADJA
7,Diktator,NN,NN,NN,NN
8,'',$(,$(,$(,$(
9,Konzernchefs,NN,NN,NN,NN
10,lehnen,VVFIN,VVFIN,VVFIN,VVFIN
11,den,ART,ART,ART,ART
12,Milliardär,NN,NN,NN,NN
13,als,KOKOM,APPR,APPR,APPR
14,US-Präsidenten,NN,NN,NN,NN
15,ab,PTKVZ,PTKVZ,,VVFIN
16,/,$(,$(,$(,$(
17,Texaner,NN,NN,NN,NN
18,gibt,VVFIN,VVFIN,VVFIN,VVFIN
19,nur,ADV,ADV,ADV,ADV
20,vage,ADJA,ADJA / D,ADJA,ADJA
21,Auskunft,NN,NN,,NN
22,über,APPR,APPR,APPR,APPR
23,seine,PPOSAT,PPOSAT,PROSAT,PPOSAT
24,Wirtschaftspolitik,NN,NN,NN,NN
25,Der,ART,ART,ART,ART
26,texanische,ADJA,ADJA,ADJA,ADJA
27,Milliardär,NN,NN,NN,NN
28,Ross,NE,NE,NE,NE
29,Perot,NE,NE,NE,NE
30,hat,VVAFIN,VVFIN,VAFIN,VAFIN
31,das,ART,ART,ART,ART
32,politische,ADJA,ADJA,ADJA,ADJDA
33,Establishment,FM,NN,FM,FM
34,in,APPR,APPR,APPR,APPR
35,Washington,NE,NE,,NE
36,aufgeschreckt,VMPP,VMPP,VMPP,VVPP
37,.,$.,$.,,$.
38,Nach,APPR,APPR,APPR,APPR
39,Meinungsumfragen,NN,NN,,NN
40,liegt,VVFIN,VVFIN,VVFIN,VVFIN
41,der,ART,ART,ART,ART
42,parteilose,ADJA,ADJA,ADJA,ADJA
43,Self-mademan,FM,NN,FM,FM
44,gut,ADV,ADJD,ADV,ADJD
45,im,APPRART,APPRART,APPRART,APPRART
46,Rennen,NN,NN,NN,NN
47,um,APPR,KOUI,APPR,APPR
48,den,ART,ART,ART,ART
49,Chefsessel,NN,NN,NN,NN
50,im,APPRART,APPRART,APPR,APPRART
51,Weißen,NE,NE,ADJA,ADJA
52,Haus,NE,NE,NN,NN
53,mit,APPR,APPR,APPR,APPR
54,dem,ART,ART,ART,ART
55,amtierenden,ADJA,ADJA,ADJA,ADJA
56,Präsidenten,NN,NN,NN,NN
57,George,NE,NE,NE,NE
58,Bush,NE,NE,NE,NE
59,und,KON,KON,KON,KON
60,dem,ART,ART,ART,ART
61,Demokraten,NN,NN,,NN
62,Bill,NE,NE,NE,NE
63,Clinton,NE,NE,NE,NE
64,.,$.,$.,$.,$.
65,Daß,KOUS,KOUS,KOUS,KOUS
66,Perot,NE,NE,NE,NE
67,ein,ART,ART,ART,ART
68,Unternehmen,NN,NN,NN,NN
69,erfolgreich,ADV,ADJD,ADJD,ADJD
70,leiten,VVINF,VVINF,VVINF,VVINF
71,kann,VVFIN,VMFIN,VAFIN,VMFIN
72,",","$,","$,","$,","$,"
73,davon,ADV,PAV,ADV,PAV
74,sind,VVFIN,VAFIN,VAFIN,VAFIN
75,selbst,ADV,ADV,PDAT,ADV
76,seine,PPOSAT,PPOSAT,PROSAT,PPOSAT
77,Kritiker,NN,NN,NN,NN
78,überzeugt,VVFIN,VVFIN,VVFIN,VVPP
79,.,$.,$.,$.,$.
80,Ob,KOUS,KOUS,KOUS,KOUS
81,diese,PPOSAT,PDAT,PPOSS,PDAT
